firmwareVersion,vendorType,phyIndex,relPos,boardNum,phyClass,softVersion,serverDate,isFRU,alias,bom,physicalFlag,deviceName,deviceIp,containedIn,beginDate,cleiCode,mfgName,desc,name,hardVersion,remark,asset,model,assetNumber,serialNum,buildInfo,devId
15.0(2)SE,1.3.6.1.4.1.9.12.3.1.3.468,1001,-1,FOC1109Y0BD,3,15.0(2)SE,2016-01-27T01:05:09-05:00,2,,,0,switch1,10.254.0.100,0,,,,WS-C3560G-24PS,1,V05,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=2&phyIndex=1001,WS-C3560G-24PS-S,,FOC1109Y0BD,,2
12.2(58)SE2,1.3.6.1.4.1.9.12.3.1.3.424,1001,-1,CAT1028ZLVE,3,12.2(58)SE2,2016-01-27T01:31:04-05:00,2,,,0,ciscosiwtch3.lab.local,10.10.10.32,0,,,,WS-C3560-48PS,1,V04,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=4&phyIndex=1001,WS-C3560-48PS-S,,CAT1028ZLVE,,4
12.2(58)SE2,1.3.6.1.4.1.9.12.3.1.3.424,1001,-1,FDO1442X2E5,3,12.2(58)SE2,2016-01-27T01:05:10-05:00,2,,,0,switch2,10.254.0.101,0,,,,WS-C3560-48PS,1,V09,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=6&phyIndex=1001,WS-C3560-48PS-S,,FDO1442X2E5,,6
12.2(58)SE2,1.3.6.1.4.1.9.12.3.1.3.485,1001,-1,FDO1148Y50F,3,12.2(58)SE2,2016-01-27T01:05:10-05:00,2,,,0,switch4,10.254.0.103,0,,,,WS-C3560-48TS,1,V02,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=8&phyIndex=1001,WS-C3560-48TS-S,,FDO1148Y50F,,8
WB.15.05,1.3.6.1.4.1.11.2.3.7.11.153.1,225001,1,,9,WB.16.01.0004,2016-01-29T14:22:23-05:00,2,,,0,2920,10.10.10.6,120001,,,Hewlett-Packard,HP J9727x  Fixed 24G PoE+,01-01-24,7,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=205&phyIndex=225001,J9727x,,,,205
K.11.00,1.3.6.1.4.1.11.2.3.7.11.50.7,59,1,,9,K.16.01.0004,2016-01-29T23:06:47-05:00,2,,,0,HP-3500yl-24G,10.12.10.10,42,,,Hewlett-Packard,HP J8692A yl Fixed Gig-T/SFP,24-Jan,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=211&phyIndex=59,J8692A,,,,211
KA.15.03,1.3.6.1.4.1.11.2.3.7.11.119.1,25001,1,,9,KA.16.01.0004,2016-01-29T14:01:00-05:00,2,,,0,Jan-00,10.10.10.3,20001,,,Hewlett-Packard,HP J9573x Fixed 24G-PoE+-2SFP+,26-Jan,3,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=198&phyIndex=25001,J9573x,,,,198
KA.15.03,1.3.6.1.4.1.11.2.3.7.11.119.1,25001,1,,9,KA.16.01.0004,2016-01-29T14:03:15-05:00,2,,,0,3800_2,10.10.10.4,20001,,,Hewlett-Packard,HP J9573x Fixed 24G-PoE+-2SFP+,26-Jan,3,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=202&phyIndex=25001,J9573x,,,,202
,1.3.6.1.4.1.10734.1.3.11,1,-1,8AXA1110A277CB,3,3.6.5.4124,2016-01-26T15:21:28-05:00,1,,,0,TP10,10.101.0.2,0,,,TippingPoint,TippingPoint IPS Module,10,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=1,10,,8AXA1110A277CB,,42
,1.3.6.1.4.1.10734.1.3.11,3,1,8AXA1110A277CB,9,3.6.5.4124,2016-01-26T15:21:28-05:00,2,,,0,TP10,10.101.0.2,2,,,TippingPoint,TippingPoint IPS Module,10,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=3,10,,8AXA1110A277CB,,42
,0,14,1,,10,,2016-01-26T15:21:28-05:00,2,,,0,TP10,10.101.0.2,9,,,TippingPoint,Fixed Ethernet 1A,1A,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=14,,,,,42
,0,15,2,,10,,2016-01-26T15:21:28-05:00,2,,,0,TP10,10.101.0.2,9,,,TippingPoint,Fixed Ethernet 1B,1B,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=15,,,,,42
WB.15.05,1.3.6.1.4.1.11.2.3.7.11.153.1,225002,1,,9,WB.16.01.0004,2016-01-29T14:22:23-05:00,1,,,0,2920,10.10.10.6,220002,,,Hewlett-Packard,HP J9727x  Fixed 24G PoE+,02-01-24,7,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=205&phyIndex=225002,J9727x,,,,205
,1.3.6.1.4.1.9.12.3.1.5.1,2,0,,5,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,1,,,,2600 Chassis Slot,2600 Chassis Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=2,,,,,208
,1.3.6.1.4.1.9.12.3.1.5.1,7,1,,5,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,1,,,,2600 Chassis Slot,2600 Chassis Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=7,,,,,208
,1.3.6.1.4.1.9.12.3.1.5.1,2,0,,5,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,1,,,,2600 Chassis Slot,2600 Chassis Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=2,,,,,85
,1.3.6.1.4.1.9.12.3.1.5.1,8,1,,5,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,1,,,,2600 Chassis Slot,2600 Chassis Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=8,,,,,85
,1.3.6.1.4.1.9.12.3.1.5.1,2,0,,5,,2016-01-29T19:19:36-05:00,2,,,0,R1Br4Core,10.11.10.1,1,,,Cisco,2600 Chassis Slot,2600 Chassis Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=210&phyIndex=2,,,,,210
,1.3.6.1.4.1.9.12.3.1.5.1,9,1,,5,,2016-01-29T19:19:36-05:00,2,,,0,R1Br4Core,10.11.10.1,1,,,Cisco,2600 Chassis Slot,2600 Chassis Slot 1,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=210&phyIndex=9,,,,,210
,1.3.6.1.4.1.9.12.3.1.5.2,4,0,,5,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,3,,,,2600 DaughterCard Slot,2600 DaughterCard Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=4,,,,,208
,1.3.6.1.4.1.9.12.3.1.5.2,5,1,,5,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,3,,,,2600 DaughterCard Slot,2600 DaughterCard Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=5,,,,,208
,1.3.6.1.4.1.9.12.3.1.5.2,4,0,,5,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,3,,,,2600 DaughterCard Slot,2600 DaughterCard Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=4,,,,,85
,1.3.6.1.4.1.9.12.3.1.5.2,6,1,,5,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,3,,,,2600 DaughterCard Slot,2600 DaughterCard Slot,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=6,,,,,85
,1.3.6.1.4.1.9.12.3.1.3.335,1,-1,JAE0832S0BN (2273485894),3,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,0,,,Cisco,"2651XM chassis, Hw Serial#: JAE0832S0BN (2273485894), Hw Revision: 0x301",2651XM chassis,0x301,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=1,,,JAE0832S0BN (2273485894),,85
,1.3.6.1.4.1.9.12.3.1.3.335,1,-1,JAE0830QRM8 (2381321299),3,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,0,,,Cisco,"2651XM chassis, Hw Serial#: JAE0830QRM8 (2381321299), Hw Revision: 0x301",2651XM chassis,0x301,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=1,,,JAE0830QRM8 (2381321299),,208
"System Bootstrap, Version 12.2(8r) [cmong 8r], RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.335,1,-1,JAE07520AP5,3,,2016-01-29T19:19:36-05:00,2,,,0,R1Br4Core,10.11.10.1,0,,,Cisco,2651XM chassis,2651XM chassis,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=210&phyIndex=1,C2651XM-2FE,,JAE07520AP5,,210
"System Bootstrap, Version 12.4(13r)T11, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.436,1,-1,FHK1119F1DX,3,"15.1(4)M, RELEASE SOFTWARE (fc1)",2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,0,,,Cisco,2811 chassis,2811 chassis,V04 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=1,CISCO2811,,FHK1119F1DX,,15
,,0,-1,,-1,,2016-01-29T14:22:23-05:00,1,,,2,2920,10.10.10.6,0,,,Hewlett-Packard,2920,2920,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=205&phyIndex=0,,,,,205
,0,16,3,,10,,2016-01-26T15:21:28-05:00,2,,,0,TP10,10.101.0.2,9,,,TippingPoint,Fixed Ethernet 2A,2A,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=16,,,,,42
,0,17,4,,10,,2016-01-26T15:21:28-05:00,2,,,0,TP10,10.101.0.2,9,,,TippingPoint,Fixed Ethernet 2B,2B,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=42&phyIndex=17,,,,,42
,1.3.6.1.4.1.9.12.3.1.9.3.114,14,0,FOC11063NZ4,9,,2016-01-26T15:20:40-05:00,1,,,2,router.lab.local,10.101.0.1,13,,,Cisco,2nd generation two port FXO voice interface daughtercard,2nd generation two port FXO voice interface daughtercard on Slot 0 SubSlot 2,V01 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=14,VIC2-2FXO,,FOC11063NZ4,,15
KA.15.09,,0,-1,,-1,KA.16.01.0004,2016-01-29T14:03:15-05:00,1,,,2,3800_2,10.10.10.4,0,,,Hewlett-Packard,3800_2,3800_2,Rev 0,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=202&phyIndex=0,SG1BDLV0ZN,,SG1BDLV0ZN,,202
KA.15.09,,0,-1,,-1,KA.16.01.0004,2016-01-29T14:01:00-05:00,1,,,2,Jan-00,10.10.10.3,0,,,Hewlett-Packard,Jan-00,Jan-00,Rev 0,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=198&phyIndex=0,SG1BDLV11P,,SG1BDLV11P,,198
,,0,-1,,-1,,2016-01-26T14:35:40-05:00,1,,,2,3Com-NJ2000,10.101.0.126,0,,,,3Com-NJ2000,3Com-NJ2000,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=63&phyIndex=0,,,,,63
,,0,-1,,-1,,2016-01-26T14:36:23-05:00,1,,,2,3Com-NJ2000 Upstairs,10.101.0.125,0,,,,3Com-NJ2000 Upstairs,3Com-NJ2000 Upstairs,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=65&phyIndex=0,,,,,65
,1.3.6.1.4.1.9.12.3.1.9.15.25,30,0,FOC11163P04,9,,2016-01-26T15:20:40-05:00,1,,,2,router.lab.local,10.101.0.1,29,,,Cisco,40GB IDE Disc Daughter Card,40GB IDE Disc Daughter Card on Slot 1 SubSlot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=30, ,,FOC11163P04,,15
4.1,,0,-1,,-1,3.01.13s168,2016-01-26T15:43:57-05:00,1,,,2,4210,10.101.0.227,0,,,3Com,4210,4210,REV.A,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=107&phyIndex=0,9K2F93KF01E32,,9K2F93KF01E32,,107
